"UserPrincipalName";"Operation";"License";"Status";"Timestamp"
"admin@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:18"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:18"
"alif.ramlan@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:18"
"andi.valentino@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:19"
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:19"
"bima.iskandar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:19"
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:19"
"bulan.bahari@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:19"
"dani.umara@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:19"
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:20"
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:20"
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:20"
"gery.kautsar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:20"
"gilang.effendi@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:21"
"hana.kautsar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:21"
"ilham.widianto@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:21"
"IsaiahL@M365x57702712.OnMicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:21"
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:22"
"jihan.ismail@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:22"
"jihan.valianto@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:20:22"
