"Timestamp";"UserAccount";"Operation";"Status";"Message"
"2026-01-09 16:57:09";"admin@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:11";"alif.mardiono@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:12";"alif.ramlan@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:13";"andi.valentino@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:14";"bagas.wibisono@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:16";"bima.iskandar@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:17";"bima.jamaludin@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:18";"bulan.bahari@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:19";"dani.umara@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:20";"elang.bachtiar@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:21";"fauzi.nasution@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:22";"fikri.ramdhan@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:23";"gery.kautsar@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:24";"gilang.effendi@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:26";"hana.kautsar@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:27";"ilham.widianto@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:28";"IsaiahL@M365x57702712.OnMicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:28";"iwan.wiratama@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:57:30";"jihan.ismail@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"SUCCESS";"Status set to enabled"
"2026-01-09 16:58:08";"jihan.valianto@M365x57702712.onmicrosoft.com";"ENABLE-MFA";"FAILED";"The property 'Response' cannot be found on this object. Verify that the property exists."
