"UserPrincipalName";"Operation";"License";"Status";"Timestamp"
"admin@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:06"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:06"
"alif.ramlan@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:07"
"andi.valentino@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:07"
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:07"
"bima.iskandar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:07"
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:08"
"bulan.bahari@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:08"
"dani.umara@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:08"
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:08"
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:09"
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:09"
"gery.kautsar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:09"
"gilang.effendi@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:09"
"hana.kautsar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:09"
"ilham.widianto@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:10"
"IsaiahL@M365x57702712.OnMicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:10"
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:10"
"jihan.ismail@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:10"
"jihan.valianto@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:25:11"
