"UserPrincipalName";"Operation";"License";"Status";"Timestamp"
"admin@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:08"
"alif.mardiono@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:08"
"alif.ramlan@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:08"
"andi.valentino@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:09"
"bagas.wibisono@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:09"
"bima.iskandar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:09"
"bima.jamaludin@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:09"
"bulan.bahari@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:09"
"dani.umara@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:10"
"elang.bachtiar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:10"
"fauzi.nasution@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:10"
"fikri.ramdhan@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:10"
"gery.kautsar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:11"
"gilang.effendi@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:11"
"hana.kautsar@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:11"
"ilham.widianto@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:11"
"IsaiahL@M365x57702712.OnMicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:11"
"iwan.wiratama@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:12"
"jihan.ismail@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:12"
"jihan.valianto@M365x57702712.onmicrosoft.com";"Assign";"Microsoft_365_E5_(no_Teams)";"Success (Assigned)";"2026-01-09 14:23:12"
